双层LSTM,batch_size = 8,训练20轮，准确率没有明显提高，观察到训练集损失已经十分接近0，甚至出现了0，
可以认为该模型对训练集的拟合已经足够好，但是并没能继续泛化到测试集上，可以认为出现过拟合（overfit），
目前的训练集和测试集的比例是4:1,下一步要寻找更多语料，扩充训练集。
epoch6,batch300,loss = 0.00496418122202158
epoch6,batch400,loss = 0.3729942739009857
epoch6,batch500,loss = 0.5617606043815613
epoch6,batch600,loss = 0.4271101653575897
epoch6,batch700,loss = 0.11204636842012405
epoch6,batch800,loss = 0.09807340800762177
epoch6,batch900,loss = 0.06344643235206604
epoch6,batch1000,loss = 0.024881543591618538
epoch6,batch1100,loss = 0.028725555166602135
epoch6,batch1200,loss = 0.008760611526668072
epoch6,batch1300,loss = 0.13616260886192322
epoch6,batch1400,loss = 0.018155531957745552
epoch6,batch1500,loss = 0.0004515273030847311
epoch6,batch1600,loss = 0.27457669377326965
epoch6,batch1700,loss = 0.17164292931556702
epoch6,batch1800,loss = 0.006534558720886707
epoch6,batch1900,loss = 0.13404740393161774
epoch6,batch2000,loss = 0.0015951000386849046
epoch6,batch2100,loss = 0.007536294404417276
epoch6,batch2200,loss = 0.009379067458212376
epoch6,batch2300,loss = 0.06039154529571533
epoch6,batch2400,loss = 0.0046612280420959
epoch6,batch2500,loss = 0.0052627818658947945
epoch6,batch2600,loss = 0.25530117750167847
epoch6,batch2700,loss = 0.0095250578597188
epoch6,batch2800,loss = 0.006858714856207371
epoch6,batch2900,loss = 0.16742104291915894
epoch6,batch3000,loss = 0.00039262985228560865
epoch6,batch3100,loss = 0.005656431429088116
epoch6,batch3200,loss = 0.21376508474349976
epoch6,batch3300,loss = 0.8355218172073364
epoch6,batch3400,loss = 0.07644449919462204
epoch6,batch3500,loss = 0.26608115434646606
epoch6,batch3600,loss = 0.07023517042398453
epoch6,batch3700,loss = 0.04419326037168503
epoch6,batch3800,loss = 0.00145056564360857
epoch6,batch3900,loss = 0.25301939249038696
epoch6,batch4000,loss = 0.00018192300922237337
epoch6,batch4100,loss = 0.0008582547889091074
epoch6,batch4200,loss = 0.052900057286024094
epoch6,batch4300,loss = 0.1456717848777771
epoch6,batch4400,loss = 0.08366649597883224
epoch6,batch4500,loss = 0.30859607458114624
epoch6,batch4600,loss = 0.18973524868488312
epoch6,batch4700,loss = 0.2202502340078354
epoch6,batch4800,loss = 0.7184997797012329
epoch6,batch4900,loss = 0.07110931724309921
epoch6,batch5000,loss = 0.000517007545568049
epoch7,batch100,loss = 0.06958526372909546
epoch7,batch200,loss = 0.01391210313886404
epoch7,batch300,loss = 0.007230898831039667
epoch7,batch400,loss = 0.008434290997684002
epoch7,batch500,loss = 0.42881226539611816
epoch7,batch600,loss = 0.0018028785707429051
epoch7,batch700,loss = 0.016393613070249557
epoch7,batch800,loss = 0.0017386549152433872
epoch7,batch900,loss = 0.0047966171987354755
epoch7,batch1000,loss = 0.05637078732252121
epoch7,batch1100,loss = 0.0004161965916864574
epoch7,batch1200,loss = 0.5492364168167114
epoch7,batch1300,loss = 0.21432478725910187
epoch7,batch1400,loss = 2.9457623895723373e-05
epoch7,batch1500,loss = 0.005669290199875832
epoch7,batch1600,loss = 0.005781092680990696
epoch7,batch1700,loss = 0.039927538484334946
epoch7,batch1800,loss = 0.003999858163297176
epoch7,batch1900,loss = 0.04323665052652359
epoch7,batch2000,loss = 0.15968374907970428
epoch7,batch2100,loss = 0.007681027054786682
epoch7,batch2200,loss = 0.00048709195107221603
epoch7,batch2300,loss = 0.002206928562372923
epoch7,batch2400,loss = 0.020905226469039917
epoch7,batch2500,loss = 0.030718477442860603
epoch7,batch2600,loss = 0.0191408209502697
epoch7,batch2700,loss = 0.00036474724765866995
epoch7,batch2800,loss = 0.001285460195504129
epoch7,batch2900,loss = 0.003999295178800821
epoch7,batch3000,loss = 0.05889810249209404
epoch7,batch3100,loss = 0.017113376408815384
epoch7,batch3200,loss = 0.11054657399654388
epoch7,batch3300,loss = 0.2980895936489105
epoch7,batch3400,loss = 0.0799914076924324
epoch7,batch3500,loss = 0.3363577425479889
epoch7,batch3600,loss = 0.5156135559082031
epoch7,batch3700,loss = 0.3213341236114502
epoch7,batch3800,loss = 0.014510391280055046
